1	10
1	10
1	10
1	9
1	9
1	9
1	9
1	10
2	10
2	10
2	9
2	9
3	9
3	9
3	9
4	9
4	9
4	9
5	9
6	9
6	9
7	10
8	9
8	9
9	9
10	9
11	9
12	9
14	9
15	9
17	9
18	9
20	9
22	9
25	9
27	9
30	9
33	9
36	9
40	9
44	9
48	9
53	10
59	9
64	9
71	9
78	9
86	9
95	9
104	9
115	9
126	9
139	9
153	10
168	13
185	11
203	12
224	10
246	15
271	16
298	13
328	17
361	13
397	16
437	16
480	9
528	9
581	10
640	10
704	10
774	10
851	19
937	12
1030	9
1133	10
1247	9
1371	10
1509	9
1660	10
1826	10
2008	9
2209	10
2430	10
2673	9
2940	12
3235	9
3558	9
3914	9
4305	9
4736	9
5210	9
5731	14
6304	9
6934	9
7628	10
8390	9
9229	11
10152	9
11168	9
12285	9
13513	9
14864	10
16351	12
17986	9
19785	9
21763	10
23940	11
26334	9
28967	11
31864	10
35050	10
38555	9
42411	9
46652	9
51317	10
56449	10
62094	10
