1	49
1	49
1	49
1	49
1	52
1	52
1	52
1	52
2	52
2	52
2	52
2	52
3	52
3	52
3	52
4	52
4	52
4	52
5	52
6	52
6	52
7	52
8	52
8	52
9	52
10	52
11	52
12	52
14	52
15	52
17	52
18	52
20	52
22	52
25	52
27	52
30	52
33	52
36	52
40	52
44	52
48	52
53	52
59	52
64	52
71	52
78	52
86	52
95	52
104	52
115	52
126	53
139	52
153	52
168	52
185	52
203	52
224	52
246	52
271	52
298	52
328	52
361	52
397	52
437	52
480	52
528	52
581	52
640	52
704	50
774	51
851	53
937	52
1030	53
1133	52
1247	52
1371	52
1509	49
1660	49
1826	54
2008	49
2209	50
2430	49
2673	49
2940	51
3235	50
3558	51
3914	50
4305	50
4736	50
5210	50
5731	50
6304	50
6934	50
7628	50
8390	50
9229	51
10152	51
11168	51
12285	51
13513	52
14864	52
16351	52
17986	52
19785	52
21763	52
23940	52
26334	52
28967	52
31864	52
