1	9
1	9
1	9
1	11
1	9
1	9
1	9
1	9
2	9
2	9
2	9
2	9
3	9
3	9
3	9
4	9
4	9
4	9
5	9
6	9
6	9
7	9
8	9
8	9
9	9
10	9
11	9
12	9
14	9
15	9
17	9
18	9
20	9
22	9
25	9
27	9
30	12
33	13
36	10
40	13
44	14
48	13
53	9
59	15
64	14
71	17
78	13
86	21
95	14
104	15
115	13
126	18
139	15
153	14
168	21
185	14
203	21
224	17
246	15
271	15
298	16
328	17
361	17
397	18
437	19
480	20
528	19
581	22
640	20
704	20
774	20
851	21
937	21
1030	21
1133	21
1247	22
1371	24
1509	26
1660	29
1826	30
2008	33
2209	34
2430	37
2673	39
2940	38
3235	42
3558	43
3914	44
4305	44
4736	49
5210	48
5731	53
6304	70
6934	82
7628	86
8390	101
9229	114
10152	127
11168	146
12285	168
13513	198
14864	203
16351	233
17986	268
19785	272
21763	308
23940	313
26334	317
28967	351
31864	372
35050	386
38555	413
42411	429
46652	423
51317	461
56449	455
62094	476
