1	10
1	10
1	10
1	10
1	10
1	10
1	10
1	10
2	9
2	9
2	9
2	9
3	9
3	9
3	9
4	9
4	9
4	9
5	9
6	9
6	9
7	10
8	9
8	9
9	9
10	9
11	9
12	9
14	9
15	9
17	9
18	9
20	9
22	9
25	10
27	11
30	11
33	11
36	11
40	10
44	12
48	10
53	9
59	9
64	9
71	10
78	10
86	12
95	11
104	10
115	11
126	11
139	11
153	11
168	11
185	9
203	11
224	10
246	11
271	10
298	10
328	10
361	12
397	15
437	12
480	9
528	10
581	11
640	10
704	9
774	10
851	12
937	10
1030	11
1133	15
1247	10
1371	13
1509	10
1660	9
1826	10
2008	9
2209	11
2430	9
2673	10
2940	10
3235	9
3558	9
3914	9
4305	10
4736	9
5210	9
5731	9
6304	9
6934	9
7628	9
8390	9
9229	9
10152	9
11168	9
12285	9
13513	9
14864	10
16351	9
17986	10
19785	9
21763	9
23940	11
26334	10
28967	9
31864	13
35050	11
38555	10
42411	11
46652	10
51317	11
56449	10
62094	10
